source,target,overlap,success,rotation_error_deg,translation_error_ratio,fitness,bridge_hops
bun000,bun045,0.98209502181772,True,0.42697916435092426,0.002602907396807906,0.9590215346017144,1.0
bun000,bun090,0.6306549387779432,True,0.2408219054997215,0.0010752802689984555,0.60505958603387,2.0
bun000,bun180,0.12176627483289576,True,1.335284061182666,0.0055481712021676925,0.18273050386786535,3.0
bun000,bun270,0.6330473209213784,True,1.5882461566719028,0.00591174375651068,0.5935605268659837,4.0
bun000,top2,0.23768553486004368,True,0.6037461416120546,0.001974017260548067,0.316119590215346,3.0
bun000,top3,0.8326800384101449,True,0.3323232115520283,0.0015561314726836425,0.7965711896299393,1.0
bun000,bun315,0.9677504935134631,True,1.8035661981382412,0.006476734546872891,0.9452226636002509,5.0
bun000,chin,0.7474364119979263,True,1.7787277433670154,0.004990415984744243,0.7461844030942922,6.0
bun000,ear_back,0.14265633479419165,True,1.4402057377714677,0.005465126667783489,0.19192975120217437,4.0
bun045,bun000,0.98209502181772,True,0.42697916435092426,0.0022354552068417463,0.9601121172919361,1.0
bun045,bun090,0.7860168624644603,True,0.35554570538780156,0.00225337011121491,0.7475204829667961,1.0
bun045,bun180,0.17440576592570697,True,1.0644415140613153,0.006540380652267317,0.22940922811556705,2.0
bun045,bun270,0.4158807521330818,True,1.3061977394282158,0.007518096081970671,0.46248382923674,3.0
bun045,top2,0.3530853996490231,True,0.5752094325139228,0.003080103398052985,0.38658904700301855,2.0
bun045,top3,0.9161186975317194,True,0.18664737112049434,0.0007367367679648163,0.8837861147046141,2.0
bun045,bun315,0.8369759391744207,True,1.5084340932754958,0.008142237702750653,0.826218197498922,4.0
bun045,chin,0.6269432688848944,True,1.4911529418963645,0.007451867808427506,0.6423027166882277,5.0
bun045,ear_back,0.26267880856726,True,1.1624948209643349,0.006074697307001327,0.2869771453212592,3.0
bun090,bun000,0.6306549387779432,True,0.2408219054997215,0.0010750404574792673,0.6047846889952153,2.0
bun090,bun045,0.7860168624644603,True,0.35554570538780156,0.0026276433996308413,0.7248803827751196,1.0
bun090,bun180,0.6209728177026268,True,1.15511667424776,0.004817810887622528,0.6074162679425837,1.0
bun090,bun270,0.18905797619800774,True,1.3892938191324038,0.005038067436865007,0.2394736842105263,2.0
bun090,top2,0.7531855754496422,True,0.38495696880458646,0.0011393240127925879,0.7248803827751196,1.0
bun090,top3,0.825257742360431,True,0.3174311758545464,0.0016111775397163386,0.785645933014354,3.0
bun090,bun315,0.3892326791979282,True,1.609918231664434,0.005579918215704172,0.47942583732057414,3.0
bun090,chin,0.34611591779315976,True,1.5753784892862326,0.004174793286966776,0.39688995215311007,4.0
bun090,ear_back,0.769780498330012,True,1.273328095559156,0.004602779485935271,0.6854066985645934,2.0
bun180,bun000,0.12176627483289576,True,1.335284061182666,0.0055424577043101135,0.19054621848739495,3.0
bun180,bun045,0.17440576592570697,True,1.0644415140613153,0.005235887666078622,0.2434873949579832,2.0
bun180,bun090,0.6209728177026268,True,1.15511667424776,0.004812425634173025,0.6168067226890757,1.0
bun180,bun270,0.6800844667535573,True,0.3006012966676534,0.0008722601466598987,0.6439075630252101,1.0
bun180,top2,0.9561206381156737,True,0.8771663615491011,0.003428523512988303,0.9565126050420169,2.0
bun180,top3,0.3956328940404417,True,1.2353795863796255,0.0046890924231824385,0.40399159663865547,4.0
bun180,bun315,0.26572100487147476,True,0.4844930967766385,0.0013419334454456298,0.33991596638655464,2.0
bun180,chin,0.24249063509697805,True,0.49289385908932937,0.0010688489551225347,0.3144957983193277,3.0
bun180,ear_back,0.9777106917534832,True,0.1526089460415544,0.0008519294006120897,0.9378151260504202,1.0
bun270,bun000,0.6330473209213784,True,1.5882461566719028,0.00592150607558732,0.6176973845025666,4.0
bun270,bun045,0.4158807521330818,True,1.3061977394282158,0.005466599915172578,0.43974578342703496,3.0
bun270,bun090,0.18905797619800774,True,1.389293819131879,0.005048012410922816,0.26008310926423855,2.0
bun270,bun180,0.6800844667535573,True,0.3006012966676534,0.0008768239177953547,0.6651185529210462,1.0
bun270,top2,0.518293281661428,True,1.0852626244085484,0.003723414086945487,0.5619652896602297,3.0
bun270,top3,0.3373047694207032,True,1.469786130365468,0.005130523935898684,0.34490344659007577,5.0
bun270,bun315,0.8659480535838184,True,0.22829069801946164,0.0010484533424060369,0.823026154974334,1.0
bun270,chin,0.694102104928639,True,0.19636035664551574,0.0009922466358836643,0.7152285504766561,2.0
bun270,ear_back,0.4734689988472719,True,0.32208436170044047,0.001155941728904502,0.5032999266682963,2.0
top2,bun000,0.23768553486004368,True,0.6037461416120546,0.004347591910644321,0.3242791475135813,3.0
top2,bun045,0.3530853996490231,True,0.57520943251519,0.003785385025238055,0.39824488090263266,2.0
top2,bun090,0.7531855754496422,True,0.38495696880458646,0.0031494309359038643,0.6976598412035102,1.0
top2,bun180,0.9561206381156737,True,0.8771663615491011,0.003260089916848705,0.9185123276222316,2.0
top2,bun270,0.518293281661428,True,1.0852626244078767,0.004220552129342759,0.535311324697033,3.0
top2,top3,0.6526661353247591,True,0.6367531000392876,0.0053379227616278495,0.5699958211450062,4.0
top2,bun315,0.23075342567827745,True,1.3118589288723024,0.005006142790173159,0.3194734642707898,4.0
top2,chin,0.1338087028689477,True,1.265318776289658,0.004632210401689337,0.21165900543251148,5.0
top2,ear_back,0.9298877723804289,True,1.0107622953173516,0.0039444237137666194,0.8526953614709569,3.0
top3,bun000,0.8326800384101449,True,0.3323232115520283,0.00056129464775003,0.8314606741573034,1.0
top3,bun045,0.9161186975317194,True,0.18664737112049434,0.00041846662706001393,0.9009401513414355,2.0
top3,bun090,0.825257742360431,True,0.3174311758591391,0.000865114013698499,0.7869754643430406,3.0
top3,bun180,0.3956328940404417,True,1.2353795863802155,0.006263374447809451,0.45700527401972024,4.0
top3,bun270,0.3373047694207032,True,1.4697861303649722,0.007124451925707576,0.39922036230222424,5.0
top3,top2,0.6526661353247591,True,0.6367531000392876,0.002184580034653512,0.6629213483146067,4.0
top3,bun315,0.6500394480758089,True,1.6768992773947133,0.008040008170330598,0.7067186425131851,6.0
top3,chin,0.3385429345714813,True,1.6528773743572107,0.008598437565992274,0.41985783077275857,7.0
top3,ear_back,0.41667692610325313,True,1.3396304789414182,0.006542339991825291,0.4471451501949094,5.0
bun315,bun000,0.9677504935134631,True,1.8035661981382412,0.00635780553920652,0.9297608881298036,5.0
bun315,bun045,0.8369759391744207,True,1.5084340932759792,0.0062328336993352175,0.772203245089667,4.0
bun315,bun090,0.3892326791979282,True,1.6099182316648868,0.005435530863659153,0.4105465414175918,3.0
bun315,bun180,0.26572100487147476,True,0.48449309677513397,0.0010992025675947165,0.29931682322801023,2.0
bun315,bun270,0.8659480535838184,True,0.22829069801946164,0.001030948799288542,0.7965414175918019,1.0
bun315,top2,0.23075342567827745,True,1.3118589288728582,0.004406691501965178,0.2760461144321093,4.0
bun315,top3,0.6500394480758089,True,1.6768992773947133,0.005843243111174585,0.6236122971818958,6.0
bun315,chin,0.8185167814208645,True,0.1244294983299621,0.0015793385563350642,0.8672075149444919,1.0
bun315,ear_back,0.1596559864058802,True,0.4380247143599502,0.0008545264930325592,0.18189581554227155,3.0
chin,bun000,0.7474364119979263,True,1.7787277433670154,0.010316373239747158,0.690595089471494,6.0
chin,bun045,0.6269432688848944,True,1.4911529418963645,0.010843183958465882,0.5846858094049106,5.0
chin,bun090,0.34611591779315976,True,1.5753784892862326,0.009267447711495638,0.3747399084477736,4.0
chin,bun180,0.24249063509697805,True,0.49289385908932937,0.004143727994809985,0.27902621722846443,3.0
chin,bun270,0.694102104928639,True,0.19636035664551574,0.002343938657193874,0.6094465251768623,2.0
chin,top2,0.1338087028689477,True,1.265318776289658,0.008861882519400935,0.19600499375780275,5.0
chin,top3,0.3385429345714813,True,1.6528773743572107,0.011219545684116183,0.3874323761964211,7.0
chin,bun315,0.8185167814208645,True,0.1244294983299621,0.0014782377168309922,0.7480233042030795,1.0
chin,ear_back,0.23700095739776267,True,0.4844622705779901,0.004375711653377841,0.22180607573866,4.0
ear_back,bun000,0.14265633479419165,True,1.4402057377714677,0.0056364039317727006,0.2136602451838879,4.0
ear_back,bun045,0.26267880856726,True,1.1624948209637078,0.004154486631233034,0.3142356767575682,3.0
ear_back,bun090,0.769780498330012,True,1.2733280955597286,0.0037454445649015987,0.7695771828871654,2.0
ear_back,bun180,0.9777106917534832,True,0.1526089460415544,0.0003998965939637845,0.9794846134600951,1.0
ear_back,bun270,0.4734689988472719,True,0.32208436170044047,0.002073419691689133,0.5173880410307731,2.0
ear_back,top2,0.9298877723804289,True,1.0107622953180726,0.002840486331523749,0.9617212909682261,3.0
ear_back,top3,0.41667692610325313,True,1.3396304789414182,0.004608586283777134,0.4470853139854891,5.0
ear_back,bun315,0.1596559864058802,True,0.4380247143599502,0.0025651958587488777,0.2454340755566675,3.0
ear_back,chin,0.23700095739776267,True,0.4844622705779901,0.002428590692016201,0.28071053289967474,4.0
